NGram	PC1	PC2	PC3	PC4
一	0.163113639446	-0.00513651944551	-0.0890203373091	-0.257694215554
丁	-0.00855324148884	0.0119188514349	0.00347415826828	0.00236114969228
七	-0.0210206485646	0.0571885810014	-0.0327993349138	-0.0115877373216
万	-0.0253399351007	0.0167770730013	0.0208913495279	0.000261212555672
丈	0.00180478048983	-0.0027149303812	-0.00165194913339	-0.0142819457868
三	-0.0344429007768	0.108776778943	-0.0288900534776	-0.0368051192896
上	0.0429816531419	-0.0124987906342	0.0633888037373	0.0408478508273
下	0.0183944118247	-0.0396441612701	0.118615566987	-0.00245904457995
不	0.049083724852	-0.37993524558	0.0298846643481	-0.034284883966
与	-0.0152166246674	-0.0437615404151	0.0731315073378	-0.0236794199848
专	-0.00491866473156	-0.00139415596317	-0.00542814882388	-0.000290409326199
且	0.00413540716292	-0.0303285663191	0.0268639655588	-0.00864352749369
世	-0.0157985275956	-0.0175451943434	0.0119942083298	0.0359692137355
业	-0.00579690898213	-0.00434947226426	-0.00478776874766	-0.00278455307627
东	-0.0188282132979	0.0239182776864	0.0145455170676	0.0455332242276
丞	-0.00824307866049	0.00752980518185	0.00994485442479	0.0284301461041
两	0.0315488508994	0.0176873594842	-0.0272495649011	-0.0344391495058
严	-0.00691739220777	-0.00326536520829	-0.00063765829058	-0.0026930206262
个	0.134475103177	-0.0300948198239	-0.0454831576173	0.067678681838
中	-0.0203796704599	-0.0338229042548	0.085636907247	0.0199490462235
临	-0.00480088160249	0.00061759877391	0.00703957195587	0.00232800830889
为	-0.134998410102	-0.0977731661618	0.0232190060254	0.140243949368
主	-0.00502957887432	-0.00773312735897	0.0518764238952	-0.0108582910103
举	-0.0140272417623	-0.00133243919192	-0.000911222546586	0.00797774429768
乃	-0.0266588833792	-0.0405616712125	0.0650586830857	0.00660918000518
久	-0.00783938929764	-0.0137175613912	0.00270654155841	-0.00133923331221
么	0.0450948155819	-0.0111631942674	-0.0275440717902	0.0506332154499
义	-0.00984675369849	-0.0049461767654	0.0186129167745	0.00716915856453
之	-0.377498179577	-0.45124680696	-0.152822018471	0.0466748797161
乎	-0.0150580242311	-0.0324196521397	-0.00755781698115	0.00150852777127
乐	-0.00703696754611	0.00555250142103	-0.00263955257357	0.0128107027898
乘	-0.00612075020188	-0.00233763114771	0.015844701787	0.000728325847341
九	-0.0192449540321	0.0474992406567	-0.0267913362528	-0.0105224674957
乞	-0.00858724371846	0.0047347583984	0.00177489331423	0.00163928946397
也	-0.00553806564227	-0.162398125489	-0.0816338283898	0.0941916833299
习	-0.00482204010854	-0.00381596859574	-0.00770949580148	-0.00126023968399
乡	-0.00499457475389	-0.00602675045487	-0.00469924668231	-0.0070434991066
书	-0.0371105642259	0.0143471330559	-0.00819897080033	0.0917868529113
买	0.00264293292335	0.00414041400588	-0.012585963824	-0.0142395558596
乱	-0.00152426755165	-0.0091152965378	0.0185954543643	0.00498069113804
了	0.327529891272	-0.0769130508247	-0.0503653641937	0.224864005196
争	-0.00319742872956	-0.00641069581449	0.00468625078242	-0.000906852881989
事	-0.0375476902658	-0.0295167702539	-0.00118263399331	0.0739078886971
二	-0.0395169933729	0.163002537759	-0.0416643831321	-0.0860389626825
于	-0.11018606393	-0.089575906504	-0.0136781947477	0.0625994624988
云	-0.00734022831147	-0.0160082988734	0.0182354667114	-0.0295756058
五	-0.0332018113217	0.0935449581228	-0.0390187620487	-0.0286864412299
些	0.029959462064	-0.0116086792253	-0.0106105823335	0.0196459866141
亡	-0.00482471523397	-0.00451842892401	0.0108866808336	0.00268924424976
交	0.00116820552505	-0.0024524559051	0.00448828866714	-0.0115727195849
亦	-0.0407131166343	-0.0490483422655	-0.014848332216	-0.0339991944984
京	-0.0162283730788	0.0168932384169	0.00799655559063	0.0310786237213
亲	0.00508848004067	-0.00627348986078	0.0178669771792	-0.0043132087472
人	0.0817493916463	-0.0924477497676	0.106982343547	-0.268428015855
什	0.0156216316626	-0.000990272863886	-0.0110259601799	0.0204304175769
仁	-0.00616025069587	-0.00230067327154	0.0160076982028	0.0143531417628
今	-0.0061805074876	-0.0446293902576	0.0348361411776	-0.0206832402063
仍	-0.00889027124333	0.0111049752273	-0.0121573357969	-0.0115039164582
从	-0.0165092465264	0.00807974347411	0.0194016716998	0.0188172965226
仓	-0.00546318013642	0.00588603291453	-0.0078998952676	-0.00519229160533
他	0.149180624173	-0.0592821642976	-0.0292316133006	0.0756006483251
付	0.000125997007945	-0.000504554988773	0.0039383317037	-0.00410400930222
仙	0.00907361501263	-0.00883478798935	0.00667247224932	-0.0104685870263
代	-0.00634344251335	-0.000128640146581	-0.00432347794386	0.010797538089
令	-0.0272319305853	0.0139956555535	0.0607102181605	-0.0342991959381
以	-0.21842598007	-0.116179303209	-0.0661480429279	0.204654187802
仪	-0.0063783909015	0.0109401196477	-0.000855975935584	0.0154944705242
们	0.0528815658573	-0.00508881047913	-0.0266860762157	0.0599379938626
仲	-0.0041770250483	-0.00460486910611	0.00388889390924	0.00592400190296
件	0.00820935332167	0.00069331457204	-0.00814938047665	-0.00159510123567
价	-0.00319028118344	0.00369137751251	-0.0154156509677	-0.0126371475342
任	-0.00987838913865	0.00370735208109	-0.00460533076186	0.000117164051968
伏	-0.00530678017015	-0.0042370376239	0.0196420800436	-0.000679221430791
休	0.00206420246924	-0.00284664070486	0.010386212297	-0.00619837542128
众	0.00919841999423	-0.010071053592	0.0808325964095	-0.0214675906586
会	0.000805030040381	0.0059656175664	0.00168605200576	0.0199998059222
传	-0.00808994956279	-0.00397197865855	0.0129945129246	0.0113470991958
伤	-0.0014158528446	0.0071446761266	0.00617277529717	-0.0458898559103
伯	-0.00431798646402	-0.000326920321987	0.0112393971568	0.0221469555516
