NGram	PC1	PC2	PC3	PC4
一一说	-0.00605625802001	0.000538047942711	-0.00109114921435	0.000603634976928
一万一	0.00442560200293	-0.00785014772694	-0.00118976333462	-0.00691004146317
一万七	0.00322398297903	-0.00587172638859	-0.000985082693649	-0.00469209863496
一万三	0.00473401496374	-0.00806652040287	-0.00248477822574	-0.00693032518135
一万两	0.00147221080038	-0.0023165022244	0.000406065971271	-0.00566499988614
一万九	0.00266193940512	-0.0047519189324	-0.000353690826922	-0.004159967399
一万二	0.00504372667381	-0.00985952293778	-0.00209942608625	-0.00779125586772
一万五	0.00577298679013	-0.0105371769163	-0.00257429342279	-0.00649608390735
一万人	-3.77863427583e-05	-0.00100536790252	-0.00147690757447	0.00149802034854
一万余	0.00165335005668	-0.00346352684486	-0.00160610310164	-0.00192899095261
一万八	0.00340910970727	-0.00732129172922	-0.00186815116486	-0.00636854013873
一万六	0.0043160494305	-0.00771443498335	-0.00193426997436	-0.00695254955714
一万四	0.00484671681644	-0.00811602084788	-0.00121428912632	-0.00713166788677
一丈二	0.00206691203215	-0.0044003513191	-0.00160621942237	-0.0024216547437
一下子	-0.00297214969966	0.0009543201446	0.00230517368123	-0.00252139672798
一不可	0.00149620709883	-0.00244535507088	-0.00348366912241	-0.00174827536739
一两个	-0.00393570035967	0.00109700730692	0.00239923239647	-0.00300811251561
一两二	0.00125004733795	-0.00348000344332	-0.000615774738176	-0.00302201041276
一两五	0.00129062611565	-0.00367108938192	-0.00112879726993	-0.0033219734179
一两银	-0.00267715910473	0.000595930646951	0.00168545753504	-0.00113132367748
一个一	-0.00368507201289	0.000870729746543	0.00199588944122	-0.00214808750787
一个不	-0.0213488835491	0.00594506732579	0.0104667525492	-0.013565423239
一个个	-0.0263768602013	0.00670064981585	0.00874335751551	-0.0113095118425
一个丫	-0.00407670254726	0.00125070409054	0.00279498972633	-0.00291533773471
一个主	-0.0035273675164	0.000993964075644	0.00183357192919	-0.00198280373942
一个也	-0.00526606211734	0.0013352005724	0.00212477249792	-0.00234887540883
一个人	-0.0711995178775	0.0212205086537	0.044564242322	-0.0467379051162
一个儿	-0.00537206065056	0.0015009201514	0.00329609282759	-0.00322967488377
一个出	-0.00281615089946	0.000631385961252	0.00109211500166	-0.00108390556024
一个十	-0.00356396246902	0.000897990701689	0.00227129683664	-0.0024029759039
一个去	-0.00297345916899	0.000664685335366	0.00105444489796	-0.00106895041691
一个叫	-0.0116174529879	0.00261646487499	0.00411704501706	-0.00405280269553
一个名	-0.0042456178649	0.000976506092431	0.00148869795341	-0.00196295868323
一个和	-0.0046673029365	0.000912405945985	0.0016144826025	-0.001303753853
一个在	-0.0036162648441	0.00100511940014	0.0016957543582	-0.00170043618213
一个多	-0.00384751663948	0.00105616220874	0.00237244550773	-0.00255043946874
一个大	-0.0267081592233	0.00669741308718	0.012510540924	-0.0141928611584
一个头	-0.00533341267105	0.00124142162227	0.00227962916745	-0.0026157578822
一个女	-0.0145485258204	0.00365675576112	0.0060217844653	-0.00690767880421
一个好	-0.00942252082809	0.00243803052262	0.00483540655086	-0.00539988231546
一个妇	-0.0044708908309	0.0010671156261	0.00154514521792	-0.00184143440226
一个姓	-0.00792405931745	0.00215564659438	0.00418242261255	-0.0046564811188
一个字	-0.00445876090303	0.00167818427669	0.00335637845188	-0.00383294956841
一个官	-0.00267148752556	0.000601472662668	0.00093101576609	-0.00114758526972
一个家	-0.00544337564474	0.00162040854204	0.002541454581	-0.00307059113968
一个小	-0.032014852248	0.00850311058112	0.0154628606757	-0.0167328796002
一个少	-0.00491573141965	0.00120155701921	0.0014607495722	-0.00190863004364
一个就	-0.0028341158443	0.000778365617028	0.00142897825886	-0.00149108454258
一个年	-0.00487305734364	0.00116358789982	0.0023286278739	-0.00227654502474
一个心	-0.00237438282324	0.000637130138924	0.00070490529268	-0.00101839841156
一个时	-0.00418165710489	0.000559156701494	0.000735576831868	-0.00113954385988
一个是	-0.0184139621262	0.00397740637881	0.00696253875641	-0.00721984896887
一个月	-0.00533156087111	-0.00215278685297	0.00367172328879	-0.00467443614492
一个有	-0.00499412300666	0.00114451628838	0.00196508689725	-0.00261868363208
一个朋	-0.00446456974723	0.00113665995565	0.00240694801614	-0.00246597692795
一个来	-0.00376667060815	0.000964776454862	0.00194642124654	-0.0020355458174
一个男	-0.00316477428471	0.00082383309086	0.00123365494399	-0.00136331120722
一个白	-0.00481192385155	0.00101096894194	0.00158742084853	-0.00145166222719
一个的	-0.00257456327059	0.00077833351281	0.00170349176939	-0.00193676176299
一个美	-0.00468484348784	0.00103049934406	0.00135841728294	-0.00167661594701
